"","Sample","NumA","NumB","Filter","NumTotal","PercentB"
"245",152,169944,26449,"126",196393,0.13467384275407
"246",163,384716,58824,"126",443540,0.132623889615367
"247",169,84402,12776,"126",97178,0.131470085821894
"248",133,280042,41791,"126",321833,0.129853060438178
"249",542,104292,15506,"126",119798,0.129434548156063
"250",302,176675,25835,"127",202510,0.127573946965582
"251",134,420050,59498,"127",479548,0.124071000191847
"252",151,168639,23562,"127",192201,0.122590413161222
"253",273,223038,30910,"127",253948,0.121717831997102
"254",528,560335,76018,"127",636353,0.119458853812271
"255",416,102842,13792,"127",116634,0.118250252927963
"256",96,83367,11035,"127",94402,0.116893709879028
"257",287,191787,25138,"127",216925,0.115883369828282
"258",562,117295,15154,"127",132449,0.114413849859191
"259",98,98166,12672,"127",110838,0.114329020732962
"260",406,214438,27497,"128",241935,0.113654493975655
"261",157,315823,40059,"128",355882,0.112562590971165
"262",101,122566,15281,"128",137847,0.110854788279759
"263",392,134576,16676,"128",151252,0.110253087562479
"264",309,183807,22498,"128",206305,0.109052131552798
"265",148,399216,47218,"128",446434,0.105767033872868
"266",521,327631,37722,"128",365353,0.103248091571713
"267",605,356887,40860,"128",397747,0.102728618946215
"268",272,446766,50654,"128",497420,0.10183346065699
"269",560,103000,11620,"128",114620,0.101378467981155
"270",612,217949,23209,"129",241158,0.096239809585417
"271",162,280474,29163,"129",309637,0.0941844805368867
"272",172,126209,13070,"129",139279,0.0938404210254238
"273",538,244489,25029,"129",269518,0.0928657826193427
"274",551,211828,21243,"129",233071,0.0911439003565437
"275",340,185158,18103,"129",203261,0.0890628305479162
"276",166,349109,33546,"129",382655,0.0876664358233918
"277",77,169088,15699,"129",184787,0.084957275132991
"278",132,248314,22994,"129",271308,0.0847523847435387
"279",167,292845,27015,"129",319860,0.0844588257362596
"280",400,221455,20392,"130",241847,0.0843177711528363
"281",131,181311,16124,"130",197435,0.0816673842023957
"282",164,365634,31947,"130",397581,0.0803534374127536
"283",271,139886,12206,"130",152092,0.0802540567551219
"284",159,213826,18608,"130",232434,0.0800571344983952
"285",397,270176,23173,"130",293349,0.0789946446042086
"286",116,311952,26449,"130",338401,0.078158752485956
"287",142,175535,14576,"130",190111,0.0766709974698992
"288",136,212512,17350,"130",229862,0.0754800706510863
"289",332,146670,11901,"130",158571,0.0750515541933897
"290",85,288967,22706,"131",311673,0.0728519955209466
"291",422,78592,6053,"131",84645,0.0715104258963908
"292",156,243388,18012,"131",261400,0.0689058913542464
"293",256,187894,13297,"131",201191,0.0660914255607855
"294",140,314851,22185,"131",337036,0.0658238289084846
"295",266,197936,13550,"131",211486,0.0640704349224062
"296",563,424918,29006,"131",453924,0.063900564852266
"297",558,266518,17825,"131",284343,0.0626883728454718
"298",88,263218,17438,"131",280656,0.0621330026794367
"299",420,468808,30377,"131",499185,0.0608531907008424
"300",150,252172,15890,"132",268062,0.0592773313636398
"301",383,93374,5830,"132",99204,0.0587677916213056
"302",268,122458,7598,"132",130056,0.0584209878821431
"303",95,201660,12387,"132",214047,0.0578704677010189
"304",76,288967,17311,"132",306278,0.0565205466928738
"305",363,165432,9832,"132",175264,0.0560982289574585
"306",380,210017,12274,"132",222291,0.0552159106756459
"307",161,218828,12652,"132",231480,0.0546569898047347
"308",170,282209,16098,"132",298307,0.053964539886761
"309",84,259285,13690,"132",272975,0.0501511127392618
"310",145,243388,12508,"133",255896,0.0488792321880764
"311",249,432228,21542,"133",453770,0.0474733896026621
"312",247,238651,11879,"133",250530,0.0474154791841296
"313",127,331794,16072,"133",347866,0.0462016983551138
"314",277,350798,16728,"133",367526,0.0455151472276791
"315",153,291494,13328,"133",304822,0.0437238781977679
"316",146,337468,15231,"133",352699,0.0431841315115722
"317",244,276320,12360,"133",288680,0.0428155743383677
"318",73,66695,2979,"133",69674,0.042756264890777
"319",83,201955,8970,"133",210925,0.0425269645608629
"320",254,199085,8812,"134",207897,0.0423863740217512
"321",561,458725,19443,"134",478168,0.0406614411671212
"322",269,309021,12941,"134",321962,0.0401941844068555
"323",82,199538,8254,"134",207792,0.0397224147224147
"324",396,459143,18562,"134",477705,0.0388566165311228
